"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","1992-01-07","1","Surface Water","3.4","6.54","0.3","67","5.9","60000","100000","0.194","0.355","0.78","6.2","1.8","20.1","0.4","6.51","33","17.2","7.09","7.97","8.52","1.1","28","0.018","4.5"
"Deep Bay","DM1","1992-02-10","1","Surface Water","2.5","3.46","<0.2","82","6","3500","4000","0.22","0.17","0.485","7.6","1.7","24.9","0.9","1.86","12","9.8","3.85","3.62","4.01","0.79","11","0.022","2"
"Deep Bay","DM1","1992-03-25","1","Surface Water","1.1","0.046","0.5","92","7.4","14000","14000","0.319","1.46","0.128","8","0.4","22.7","0.5","4.24","38","21","1.83","0.66","2.44","0.4","32","0.001","4.5"
"Deep Bay","DM1","1992-04-22","1","Surface Water","0.9","0.237","<0.2","80","6.1","2000","2000","0.679","0.28","0.113","7.9","1.1","15.7","0.6","5.1","16","23.7","1.2","0.52","1.48","0.24","14","0.01","2"
"Deep Bay","DM1","1992-05-22","1","Surface Water","1","2.01","1.1","50","3.5","4500","5000","0.592","0.081","0.375","7.6","0.4","12","0.5","6.29","17","25.3","2.68","2.05","2.72","0.9","13","0.041","2"
"Deep Bay","DM1","1992-06-19","1","Surface Water","1.1","1.49","0.5","55","4","9000","9000","0.581","0.156","0.356","7.5","5.8","6.7","0.4","7.67","31","28.9","2.23","1.93","2.67","0.76","24","0.031","5.5"
"Deep Bay","DM1","1992-07-20","1","Surface Water","1.7","1.43","<0.2","38","2.8","8000","8500","1.04","0.101","0.093","6.7","5.2","6.1","0.2","6","40","28","2.57","1.58","2.72","0.9","32","0.005","6"
"Deep Bay","DM1","1992-08-17","1","Surface Water","2.2","1.59","2.1","49","3.4","1000","1000","0.744","0.322","0.24","7.4","1.6","17.3","0.2","3.88","20","29.7","2.66","2.5","3.57","0.45","37","0.028","5.5"
"Deep Bay","DM1","1992-09-16","1","Surface Water","1.5","1.85","0.5","40","2.7","2800","3700","2.07","0.682","0.054","7.6","8.8","14.3","0.4","7.22","36","30.8","4.6","2.76","5.51","0.64","45","0.054","3.5"
"Deep Bay","DM1","1992-10-12","1","Surface Water","1.9","2.46","8.5","70","5.5","500","500","0.258","0.097","0.209","7.7","5.7","23.4","0.3","4.8","38","20.4","2.82","3.2","3.56","0.54","30","0.042","4.5"
"Deep Bay","DM1","1992-11-11","1","Surface Water","1.2","3.16","<0.2","74","6.7","4000","4000","1.48","0.211","0.194","7.5","0.5","24.6","1.4","5.41","68","12.7","4.85","3.34","5.03","0.92","35","0.02","5.5"
"Deep Bay","DM1","1992-12-08","1","Surface Water","3.9","5.74","2.6","59","5.3","4000","6000","0.557","0.223","0.873","7.7","2","24.1","0.4","5.69","24","17.8","6.52","6.4","7.18","0.9","22","0.077","4.5"
"Deep Bay","DM2","1992-01-07","1","Surface Water","1.7","2.98","0.3","120","10.7","800","1200","0.325","0.272","0.525","7.1","1.4","25.6","0.9","4.37","18","16.8","3.58","3.2","3.8","0.62","14","0.009","2.5"
"Deep Bay","DM2","1992-02-10","1","Surface Water","1.7","2.18","0.3","86","6.4","1300","1300","0.333","0.152","0.477","7.7","1.6","25.7","2","1.81","3.5","9.9","2.67","2.21","2.7","0.55","3.8","0.016","1.5"
"Deep Bay","DM2","1992-03-25","1","Surface Water","0.6","0.087","0.5","85","6.9","140","170","0.655","0.341","0.057","8","<0.2","23.5","0.5","3.34","20","20.7","1.08","0.59","1.59","0.11","1.6","0.003","2.5"
"Deep Bay","DM2","1992-04-22","1","Surface Water","1.1","0.261","0.3","95","7.2","100","100","0.642","0.092","0.049","8","0.5","14.4","1","5.24","6.5","24.2","1","0.46","1.19","0.12","6.1","0.014","1"
"Deep Bay","DM2","1992-05-22","1","Surface Water","1","1.21","0.5","67","4.8","1000","1000","0.808","0.088","0.275","7.5","1","13","1","5.63","12","25.1","2.11","1.35","2.25","0.75","11","0.023","1.5"
"Deep Bay","DM2","1992-06-19","1","Surface Water","1.3","0.722","0.5","69","5.1","1300","1300","0.794","0.119","0.221","7.7","3.6","7.6","1","6.72","16","28.8","1.64","0.87","1.78","0.8","12","0.025","2.5"
"Deep Bay","DM2","1992-07-20","1","Surface Water","1.6","1.42","0.9","45","3.1","800","1000","1.12","0.116","0.109","6.7","2.5","6.5","0.5","6.13","14","27.7","2.66","1.87","3.11","0.41","13","0.005","2"
"Deep Bay","DM2","1992-08-17","1","Surface Water","2","0.573","1.1","68","4.6","100","200","0.62","0.329","0.209","7.5","2.3","19","0.4","3.43","18","29.7","1.52","1.17","2.12","0.31","38","0.013","11"
"Deep Bay","DM2","1992-09-16","1","Surface Water","1","1.13","2.1","67","4.5","140","180","1.45","0.466","0.128","7.7","11","15.9","0.8","6.15","13","31.1","3.05","1.49","3.41","0.44","13","0.043","2"
"Deep Bay","DM2","1992-10-12","1","Surface Water","1.8","0.831","4.8","78","6.2","8","8","0.248","0.079","0.145","7.9","2.7","26.4","0.9","3.19","13","20.6","1.16","1.46","1.79","0.32","11","0.02","2"
"Deep Bay","DM2","1992-11-11","1","Surface Water","1","1.31","<0.2","86","7.6","37","42","1.31","0.173","0.117","7.7","0.7","27.2","0.6","4.02","13","13.5","2.79","1.64","3.12","0.45","16","0.012","1.5"
"Deep Bay","DM2","1992-12-08","1","Surface Water","4.4","4.03","3.7","86","6.8","1800","2100","0.349","0.205","0.643","7.8","1.5","25.4","1.3","4.98","35","17.9","4.58","3.16","3.71","0.71","18","0.072","4.5"
"Deep Bay","DM3","1992-01-07","1","Surface Water","1.3","0.239","<0.2","117","10.1","50","50","0.238","0.04","0.051","7.7","1.9","30","0.9","1.55","10","17.6","0.52","0.44","0.72","0.14","12","0.003","1.5"
"Deep Bay","DM3","1992-01-07","1","Bottom Water","1.3","0.295","1.6","102","8.9","60","90","0.269","0.065","0.064","7.9","<0.2","29.9","0.9","1.6","38","17.1","0.63","0.52","0.85","0.16","31","0.006","3.5"
"Deep Bay","DM3","1992-02-10","1","Surface Water","2.1","0.283","0.3","90","6.8","140","170","0.179","0.03","0.068","8","2","29.1","2","0.66","5","11","0.49","0.54","0.75","0.16","7.2","0.004","1"
"Deep Bay","DM3","1992-03-25","1","Surface Water","0.5","0.106","0.3","81","6.6","150","200","1.21","0.601","0.073","7.9","0.3","22.8","0.8","3.8","29","20.8","1.92","0.63","2.44","0.14","24","0.003","6"
"Deep Bay","DM3","1992-04-22","1","Surface Water","1.1","0.198","<0.2","96","7.4","51","63","0.594","0.06","0.035","8","0.6","14.6","1.2","5.33","5","23.2","0.85","0.32","0.97","0.09","6.3","0.01","1"
"Deep Bay","DM3","1992-05-22","1","Surface Water","1","0.5","2.1","83","5.9","290","340","1.14","0.069","0.098","7.7","2","15","1","4.92","5.5","24.9","1.71","1","2.21","0.15","5.9","0.013","1.5"
"Deep Bay","DM3","1992-06-19","1","Surface Water","1.5","0.128","1.1","84","6","700","800","0.872","0.071","0.055","8.4","1.5","12.4","1.2","5.82","5","27.1","1.07","0.31","1.25","0.4","6.3","0.018","1"
"Deep Bay","DM3","1992-07-20","1","Surface Water","2.1","0.359","2.1","104","7.6","170","240","0.802","0.05","0.058","7.4","2","8.8","0.8","6.42","5","28.5","1.21","0.72","1.57","0.64","8","0.006","1.5"
"Deep Bay","DM3","1992-08-17","1","Surface Water","2.7","0.227","2.7","90","6.2","1500","2000","0.32","0.072","0.064","7.9","1.4","22.5","1.2","2.49","5.5","29","0.62","0.51","0.9","0.15","5.1","0.01","1.5"
"Deep Bay","DM3","1992-09-16","1","Surface Water","1","0.08","1.1","87","5.9","70","70","0.886","0.188","0.058","7.9","2.3","17.7","1","4.7","14","30.2","1.15","0.26","1.33","0.32","12","0.005","2.5"
"Deep Bay","DM3","1992-10-12","1","Surface Water","1.7","0.147","3.2","80","6.2","3","5","0.179","0.063","0.075","7.9","0.9","29.4","1","1.63","9.5","21.7","0.39","0.74","0.98","0.15","7.7","0.005","2"
"Deep Bay","DM3","1992-11-11","1","Surface Water","0.8","0.46","0.4","88","7.5","60","60","0.632","0.079","0.113","7.8","0.7","29.8","1","2.22","17","15.4","1.17","0.84","1.55","0.39","19","0.007","1.5"
"Deep Bay","DM3","1992-12-08","1","Surface Water","1.8","5.55","5","125","10.1","27","40","0.554","0.229","0.901","8","3.5","28.3","1.3","5.93","3","17.4","6.33","5.1","5.88","0.83","3.6","0.158","1"
"Deep Bay","DM4","1992-01-07","1","Surface Water","1.1","0.398","<0.2","117","10.3","100","140","0.265","0.047","0.078","8","2.1","29.8","0.8","1.89","13","17.1","0.71","0.64","0.95","0.17","13","0.009","1.5"
"Deep Bay","DM4","1992-01-07","1","Bottom Water","1.9","0.315","<0.2","103","9","110","120","0.207","0.045","0.06","8","2.8","30.1","0.8","1.43","14","17","0.57","0.51","0.76","0.16","14","0.009","1.5"
"Deep Bay","DM4","1992-02-10","1","Surface Water","1.7","0.305","<0.2","89","6.5","37","46","0.183","0.038","0.082","8","1.9","28.9","1.8","0.72","4","11","0.53","0.62","0.84","0.16","4.8","0.004","1"
"Deep Bay","DM4","1992-02-10","1","Bottom Water","1.6","0.263","0.3","91","7","70","76","0.142","0.023","0.052","8","1.4","29.9","1.8","0.77","9.5","11.2","0.43","0.47","0.64","0.13","5.6","0.004","1.5"
"Deep Bay","DM4","1992-03-25","1","Surface Water","0.5","0.174","<0.2","80","6.5","160","200","0.651","0.07","0.007","7.9","0.7","23.2","0.8","3.39","6.5","20.6","0.9","0.64","1.36","0.03","7.6","0.005","1"
"Deep Bay","DM4","1992-03-25","1","Bottom Water","0.5","0.173","0.4","67","5.5","160","160","0.524","0.089","0.008","7.8","<0.2","23.2","0.8","3.37","8","20.4","0.79","0.6","1.21","0.03","9.3","0.004","1"
